2023-10-04 10:26:32.9906||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-10-04 10:26:33.0060||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2109300001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '' |url: |action: 
2023-10-04 10:26:33.0060||DEBUG|DigitalSignaturePdfFileSign|File Length: 311893 |url: |action: 
2023-10-04 10:26:33.0060||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 0 |url: |action: 
2023-10-04 10:28:54.6967||DEBUG|DigitalSignaturePdfFileSign|Ký không thành công |url: |action: 
2023-10-04 10:28:54.6967||DEBUG|DigitalSignaturePdfFileSign|Ký hash thành công |url: |action: 
2023-10-04 10:28:55.8242||ERROR|DigitalSignaturePdfFileSign|There was an error on 'DigitalSignaturePdfFileSign' invocation: System.NullReferenceException: Object reference not set to an instance of an object.
   at VietBaIT.ChuKySo.Api.Controllers.ViettelController.DigitalSignaturePdfFileSign(VietBaDigitalSignature objDigitalSignature) in E:\Viet Ba\VietBaIT.ChuKySo\trunk\VietBaIT.ChuKySo.Api\Controllers\ViettelController.cs:line 249 |url: |action: 
2023-10-04 10:29:03.3608||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-10-04 10:29:03.3608||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2109300001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '' |url: |action: 
2023-10-04 10:29:03.3608||DEBUG|DigitalSignaturePdfFileSign|File Length: 311893 |url: |action: 
2023-10-04 10:29:03.3608||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 0 |url: |action: 
2023-10-04 10:36:00.4950||DEBUG|DigitalSignaturePdfFileSign|Ký không thành công |url: |action: 
2023-10-04 10:36:00.4950||DEBUG|DigitalSignaturePdfFileSign|Ký hash thành công |url: |action: 
2023-10-04 10:36:01.5196||ERROR|DigitalSignaturePdfFileSign|There was an error on 'DigitalSignaturePdfFileSign' invocation: System.NullReferenceException: Object reference not set to an instance of an object.
   at VietBaIT.ChuKySo.Api.Controllers.ViettelController.DigitalSignaturePdfFileSign(VietBaDigitalSignature objDigitalSignature) in E:\Viet Ba\VietBaIT.ChuKySo\trunk\VietBaIT.ChuKySo.Api\Controllers\ViettelController.cs:line 249 |url: |action: 
2023-10-04 10:36:10.9174||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-10-04 10:36:10.9174||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2109300001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '' |url: |action: 
2023-10-04 10:36:10.9227||DEBUG|DigitalSignaturePdfFileSign|File Length: 311893 |url: |action: 
2023-10-04 10:36:10.9227||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 0 |url: |action: 
2023-10-04 10:36:36.5824||DEBUG|DigitalSignaturePdfFileSign|Ký hash thành công |url: |action: 
2023-10-04 10:36:36.6057||DEBUG|DigitalSignaturePdfFileSign|Ký thành công |url: |action: 
2023-10-04 10:36:53.8387||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-10-04 10:36:53.8387||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2109300001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '' |url: |action: 
2023-10-04 10:36:53.8387||DEBUG|DigitalSignaturePdfFileSign|File Length: 311893 |url: |action: 
2023-10-04 10:36:53.8466||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 0 |url: |action: 
2023-10-04 10:37:10.7972||DEBUG|DigitalSignaturePdfFileSign|Ký hash thành công |url: |action: 
2023-10-04 10:37:10.8147||DEBUG|DigitalSignaturePdfFileSign|Ký thành công |url: |action: 
2023-10-04 10:37:26.9907||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-10-04 10:37:26.9907||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2109300001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '' |url: |action: 
2023-10-04 10:37:26.9907||DEBUG|DigitalSignaturePdfFileSign|File Length: 311893 |url: |action: 
2023-10-04 10:37:27.0006||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 0 |url: |action: 
2023-10-04 10:38:10.5891||DEBUG|DigitalSignaturePdfFileSign|Ký hash thành công |url: |action: 
2023-10-04 10:38:10.6016||DEBUG|DigitalSignaturePdfFileSign|Ký thành công |url: |action: 
2023-10-04 10:48:34.1489||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-10-04 10:48:34.1489||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2109300001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '' |url: |action: 
2023-10-04 10:48:34.1607||DEBUG|DigitalSignaturePdfFileSign|File Length: 311893 |url: |action: 
2023-10-04 10:48:34.1607||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 0 |url: |action: 
2023-10-04 10:50:40.5921||DEBUG|DigitalSignaturePdfFileSign|Ký hash thành công |url: |action: 
2023-10-04 10:50:40.6300||DEBUG|DigitalSignaturePdfFileSign|Ký thành công |url: |action: 
2023-10-04 10:50:42.0495||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-10-04 10:50:42.0495||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2109300001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '' |url: |action: 
2023-10-04 10:50:42.0495||DEBUG|DigitalSignaturePdfFileSign|File Length: 311893 |url: |action: 
2023-10-04 10:50:42.0495||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 0 |url: |action: 
2023-10-04 14:31:17.7737||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-10-04 14:31:17.7737||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2109300001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '' |url: |action: 
2023-10-04 14:31:17.7737||DEBUG|DigitalSignaturePdfFileSign|File Length: 311893 |url: |action: 
2023-10-04 14:31:17.7851||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 0 |url: |action: 
2023-10-04 14:44:44.7170||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
2023-10-04 14:44:44.7209||DEBUG|DigitalSignaturePdfFileSign|Begin iSignatureType 'imageWithText' for pdf file '2109300001_SHMD.pdf' by user 'ADMIN', userFullName 'Quản trị hệ thống' with appId: '026084000490_3149784_20230930094614', secret: '' |url: |action: 
2023-10-04 14:44:44.7209||DEBUG|DigitalSignaturePdfFileSign|File Length: 311893 |url: |action: 
2023-10-04 14:44:44.7209||DEBUG|DigitalSignaturePdfFileSign|Signature Length: 0 |url: |action: 
2023-10-04 14:44:45.1934||DEBUG|DigitalSignaturePdfFileSign|Ký không thành công |url: |action: 
2023-10-04 14:44:45.1934||DEBUG|DigitalSignaturePdfFileSign|Ký hash thành công |url: |action: 
2023-10-04 14:44:46.0758||ERROR|DigitalSignaturePdfFileSign|There was an error on 'DigitalSignaturePdfFileSign' invocation: System.NullReferenceException: Object reference not set to an instance of an object.
   at VietBaIT.ChuKySo.Api.Controllers.ViettelController.DigitalSignaturePdfFileSign(VietBaDigitalSignature objDigitalSignature) in E:\Viet Ba\VietBaIT.ChuKySo\trunk\VietBaIT.ChuKySo.Api\Controllers\ViettelController.cs:line 249 |url: |action: 
2023-10-04 14:46:47.5425||DEBUG|DigitalSignaturePdfFileSign|Ký không thành công |url: |action: 
2023-10-04 14:46:47.5425||DEBUG|DigitalSignaturePdfFileSign|Ký hash thành công |url: |action: 
2023-10-04 14:49:30.7898||DEBUG|DigitalSignaturePdfFileSign|---------------------------------------------------------------------- |url: |action: 
